zip,county,num_below_p50,pop2018,ec_zip,ec_se_zip,nbhd_ec_zip,ec_grp_mem_zip,ec_high_zip,ec_high_se_zip,nbhd_ec_high_zip,ec_grp_mem_high_zip,exposure_grp_mem_zip,exposure_grp_mem_high_zip,nbhd_exposure_zip,bias_grp_mem_zip,bias_grp_mem_high_zip,nbhd_bias_zip,nbhd_bias_high_zip,clustering_zip,support_ratio_zip,volunteering_rate_zip,civic_organizations_zip
21221,24005,5807.545820236206,43110,0.82055998,0.0106,0.90395999,0.93822002,1.22339,0.01326,1.28579,1.29997,1.02057,1.21951,1.04926,0.080689996,-0.065970004,0.13846999,-0.22543,0.077420004,0.89454001,0.041230001,0.0078800004
21222,24005,6363.179514884949,54873,0.84801,0.0101,0.77815002,0.87296999,1.22347,0.01307,1.13103,1.27747,0.92881,1.1215301,0.80473,0.06013,-0.13903999,0.03303,-0.40547001,0.080389999,0.95271999,0.04188,0.0043600001
21223,24510,7833.705916404724,23560,0.63505,0.0094799995,0.19864,0.58456999,1.08771,0.02313,0.38493001,1.17105,0.68090999,1.13018,0.34075001,0.1415,-0.03616,0.41705,-0.12966999,0.069310002,0.76912999,0.036169998,0.017929999
21224,24510,8404.680019378662,50433,0.70762998,0.01348,1.41388,1.13269,1.33815,0.01145,1.7639101,1.59087,1.31581,1.51925,1.69491,0.13917001,-0.047139999,0.16581,-0.040709998,0.077650003,0.88067001,0.06109,0.00352
21225,24510,6396.329216361046,33927,0.67733002,0.01007,0.62769997,0.71623999,1.08359,0.016279999,1.26747,1.2445101,0.93632001,1.18217,0.99207002,0.23504999,-0.052730002,0.36728001,-0.27759999,0.082510002,0.89091998,0.031890001,0.0073500001
21226,24003,993.2297928333282,6257,0.88854998,0.016480001,0.58609998,0.97707999,1.41669,0.01657,1.43485,1.50705,1.07792,1.38694,0.90845001,0.093560003,-0.086599998,0.35484001,-0.57945001,0.084169999,0.76705998,0.051240001,0.014
21227,24005,3827.889652132988,33822,0.79746002,0.01209,0.86127001,0.90657002,1.35704,0.01352,1.38423,1.46697,1.06022,1.33813,1.12356,0.14492001,-0.096280001,0.23345,-0.23199999,0.090219997,0.92728001,0.06058,0.01286
21228,24005,2823.658616542816,48133,0.91271001,0.01543,1.10103,1.05423,1.5468,0.01239,1.74352,1.6554101,1.19698,1.50646,1.47044,0.11926,-0.098870002,0.25121999,-0.18572,0.088420004,0.90792,0.10912,0.01674
21229,24510,9112.09768652916,47644,0.70199001,0.0086300001,0.52337003,0.73412001,1.12736,0.01448,0.89816999,1.2251199,0.83143997,1.18223,0.80804002,0.11705,-0.036279999,0.35229,-0.11154,0.076970004,0.83560002,0.042989999,0.0080700004
21230,24510,5112.260495424271,34947,0.73047,0.01318,0.81647003,0.84613001,1.58988,0.0083600003,1.86566,1.6768,1.1139801,1.53552,1.5515701,0.24044,-0.092009999,0.47378001,-0.20242999,0.089369997,0.86518002,0.069190003,0.01158
